,Unnamed: 0,Incident_Num,Incident_Type,Precinct,Sector,Beat,Officer_ID,Subject_ID,Subject_Race,Subject_Gender,date,count,race_weights,pop,weight_count
9793,10275,46977,1,West,QUEEN,Q3,2359,20743,White,Female,2019-07-30 17:17:00,1.0,0.68,512.499,0.0019512233194601354
9794,10276,46976,1,West,QUEEN,Q3,2459,20743,White,Female,2019-07-30 17:10:00,1.0,0.68,512.499,0.0019512233194601354
9795,10277,48740,1,South,SAM,S2,4836,21234,White,Male,2019-09-18 22:15:00,1.0,0.68,512.499,0.0019512233194601354
9797,10279,47301,2,East,EDWARD,E2,898,20732,White,Male,2019-07-28 16:00:00,1.0,0.68,512.499,0.0019512233194601354
9798,10280,46912,1,East,EDWARD,E2,160,20732,White,Male,2019-07-28 17:00:00,1.0,0.68,512.499,0.0019512233194601354
9799,10281,47261,2,East,EDWARD,E2,2343,20834,White,Male,2019-08-07 00:20:00,1.0,0.68,512.499,0.0019512233194601354
9804,10286,48140,1,South,ROBERT,R1,2160,21092,Black or African American,Female,2019-09-01 08:19:00,1.0,0.07,52.757,0.018954830638588244
9805,10287,48155,1,West,KING,K2,1750,21094,Black or African American,Male,2019-09-02 20:25:00,1.0,0.07,52.757,0.018954830638588244
9806,10288,48152,1,North,UNION,U2,1544,21093,White,Female,2019-09-03 00:13:00,1.0,0.68,512.499,0.0019512233194601354
9807,10289,48329,1,North,UNION,U2,5003,21093,White,Female,2019-09-03 00:13:00,1.0,0.68,512.499,0.0019512233194601354
9808,10290,48328,1,North,UNION,U2,5131,21093,White,Female,2019-09-07 00:15:00,1.0,0.68,512.499,0.0019512233194601354
9809,10291,48220,1,South,ROBERT,R2,1692,16299,White,Female,2019-09-04 08:20:00,1.0,0.68,512.499,0.0019512233194601354
9810,10292,48221,1,East,CHARLIE,C3,1668,16299,White,Female,2019-09-04 07:55:00,1.0,0.68,512.499,0.0019512233194601354
9811,10293,48222,1,South,ROBERT,R2,4744,16299,White,Female,2019-09-04 08:20:00,1.0,0.68,512.499,0.0019512233194601354
9812,10294,48336,1,North,LINCOLN,L3,2095,21141,White,Male,2019-09-08 14:35:00,1.0,0.68,512.499,0.0019512233194601354
9813,10295,48337,1,North,LINCOLN,L3,1792,21141,White,Male,2019-09-08 13:57:00,1.0,0.68,512.499,0.0019512233194601354
9814,10296,48439,1,North,NORA,N2,4854,21167,White,Male,2019-09-11 14:31:00,1.0,0.68,512.499,0.0019512233194601354
9815,10297,48449,1,North,NORA,N2,2237,21170,White,Male,2019-09-11 12:54:00,1.0,0.68,512.499,0.0019512233194601354
